round,accuracy,precision,recall,f1,avg_client_loss,selected_indices,selected_key_count,selected_plain_budget_bytes,selected_total_values,avg_update_coverage_ratio,avg_parameter_encryption_ratio,avg_privacy_coverage_ratio,avg_residual_privacy_leakage,avg_leakage_coverage_ratio,avg_variance_coverage_ratio,avg_influence_coverage_ratio,he_distance_time_sec,encrypted_aggregation_time_sec,decryption_time_sec,crypto_overhead_percent,selective_encrypted_upload_mb,round_time_sec,poa_block_creation_time_ms
1,0.555,0.7437943262411347,0.555,0.44816468253968256,0.6138158395886422,"[2, 3]",69,2000000,500000,1.0,0.1246848590188299,1.0,0.0,1.0,1.0,1.0,6.363206700072624,0.23787140846252441,0.12876534461975098,20.295575817565133,156.84834384918213,47.49713397026062,0.2617000136524439
2,0.56,0.7659574468085105,0.56,0.45436507936507936,0.5858585706353188,"[2, 3]",69,2000000,500000,1.0,0.1246848590188299,1.0,0.0,1.0,1.0,1.0,6.102935500093736,0.2341606616973877,0.15624642372131348,20.2109485889362,156.84647369384766,46.24544167518616,0.24530000519007444
3,0.64,0.7906976744186046,0.64,0.5863970588235294,0.6094817639887333,"[2, 3]",69,2000000,500000,1.0,0.1246848590188299,1.0,0.0,1.0,1.0,1.0,6.455056100036018,0.2357017993927002,0.13977980613708496,20.83346905120715,156.85195064544678,47.899182081222534,0.28140004724264145
4,0.6975,0.8115264797507789,0.6975,0.6670312811728203,0.6213225576281548,"[2, 3]",69,2000000,500000,1.0,0.1246848590188299,1.0,0.0,1.0,1.0,1.0,6.137203400023282,0.24168038368225098,0.1295478343963623,20.838718578215097,156.84778881072998,45.21473002433777,0.2443999983370304
5,0.765,0.8401360544217686,0.765,0.7512635283533116,0.6445772470533847,"[2, 3]",69,2000000,500000,1.0,0.1246848590188299,1.0,0.0,1.0,1.0,1.0,6.089786999975331,0.23311567306518555,0.12844300270080566,20.338482029712306,156.8420639038086,46.54332518577576,0.24730002041906118
