accuracy,alpha,attack_scale,avg_adaptive_encryption_quality,avg_adaptive_gain_over_fixed,avg_avg_selected_rank,avg_client_loss,avg_encrypted_selected_size_bytes,avg_encryption_time_sec,avg_fixed_encrypted_params,avg_fixed_parameter_encryption_ratio,avg_fixed_update_coverage_ratio,avg_fixed_update_norm,avg_gradient_cosine_similarity,avg_gradient_energy_ratio_current_field,avg_influence_coverage_ratio,avg_information_coverage_ratio,avg_information_leakage_ratio,avg_leakage_coverage_ratio,avg_parameter_encryption_ratio,avg_plain_selected_size_bytes,avg_privacy_coverage_ratio,avg_reconstruction_risk_score,avg_residual_leakage_risk,avg_residual_privacy_leakage,avg_selected_encrypted_params,avg_selected_ila_leakage_score,avg_selected_update_norm,avg_size_expansion_ratio,avg_total_ila_leakage_score,avg_total_trainable_params,avg_total_update_norm,avg_update_coverage_ratio,avg_variance_coverage_ratio,ckks_global_scale,ckks_poly_modulus_degree,crypto_overhead_percent,crypto_time_sec,decryption_time_sec,encrypted_aggregation_time_sec,f1,full_model_communication_cost_mb,loss,malicious_client_index,max_adaptive_encryption_quality,max_adaptive_gain_over_fixed,max_avg_selected_rank,max_fixed_encrypted_params,max_fixed_parameter_encryption_ratio,max_fixed_update_coverage_ratio,max_fixed_update_norm,max_gradient_cosine_similarity,max_influence_coverage_ratio,max_information_leakage_ratio,max_leakage_coverage_ratio,max_parameter_encryption_ratio,max_privacy_coverage_ratio,max_reconstruction_risk_score,max_residual_privacy_leakage,max_selected_bytes,max_selected_encrypted_params,max_selected_ila_leakage_score,max_selected_update_norm,max_total_ila_leakage_score,max_total_trainable_params,max_total_update_norm,max_update_coverage_ratio,max_variance_coverage_ratio,min_adaptive_encryption_quality,min_adaptive_gain_over_fixed,min_avg_selected_rank,min_fixed_encrypted_params,min_fixed_parameter_encryption_ratio,min_fixed_update_coverage_ratio,min_fixed_update_norm,min_gradient_cosine_similarity,min_influence_coverage_ratio,min_information_leakage_ratio,min_leakage_coverage_ratio,min_parameter_encryption_ratio,min_privacy_coverage_ratio,min_reconstruction_risk_score,min_residual_privacy_leakage,min_selected_encrypted_params,min_selected_ila_leakage_score,min_selected_update_norm,min_total_ila_leakage_score,min_total_trainable_params,min_total_update_norm,min_update_coverage_ratio,min_variance_coverage_ratio,num_selected_by_multikrum,poa_block_creation_time_ms,precision,recall,round,round_time_sec,selected_key_count,selected_plain_budget_bytes,selected_tensor_count,selected_total_values,selection_strategy,selective_encrypted_upload_mb,selective_plain_upload_mb,total_encryption_time_sec
0.8575,0.005,5.0,2.248497983956218,0.27322951544294294,120.73019801980199,0.5274880991379419,41116637.916666664,0.7246549328168234,2562.0,0.0006388852176124843,0.00711628878844563,0.4890298578926983,0.36311338090348805,0.36311338090348805,0.9890270054176625,0.28034580423138855,0.7196541957686114,0.9988431969545547,0.12468136784277738,1999944.0,0.999879776588394,0.7196541957686114,0.7196541957686114,0.00012022341160602042,499986.0,0.010849082911996065,955.3534172933965,20.558894607382342,0.010850163851324918,4010110.0,2185.5186795247196,0.28034580423138855,0.927761393849552,1099511627776,8192,7.521737179910677,10.277750253677368,0.13104939460754395,1.4508416652679443,0.8574278228353103,370.9921875,0.5008451509475708,0,3.5119560512451145,0.43768452372865063,121.82178217821782,2562,0.0006388852176124844,0.009448152057540822,4.986418217420578,0.6566876549632122,0.9926511243452595,0.7384790718929802,0.9992676228098427,0.12468136784277738,0.9999784910078362,0.7384790718929802,0.00029125707025856595,2000000,499986,0.02331659950907645,11433.934164971113,0.023317101036419926,4010110,26112.295791018754,0.43787548427296,0.9741298260125284,2.097514108417518,0.25523576881584414,114.5940594059406,2562,0.0006388852176124844,0.000190960544309384,0.059287912445142865,0.32915286302329366,0.9832689363820939,0.56212451572704,0.998075711956733,0.12468136784277738,0.9997087429297414,0.56212451572704,2.150899216379898e-05,499986,0.005477742467165012,2.6670858950237744,0.0054792125130923314,4010110,9.998569157076417,0.26152092810701977,0.8836844011687683,8,1.919199996336829,0.8582254064480572,0.8575,1,136.64064574241638,101,1999944,101,499986,ILA score = update_norm * fisher_score * gradient_variance,470.5425786972046,22.887542724609375,8.69585919380188
0.91,0.005,5.0,2.377256060016635,0.28912348903394613,126.29597701149424,-343.1746602692702,41116018.416666664,0.720733126004537,2562.0,0.0006388852176124843,0.007279605135499974,0.489323073241394,0.3711432185400066,0.3711432185400066,0.9767976104176844,0.29640309416944605,0.7035969058305538,0.9900926452575393,0.12468286406108559,1999968.0,0.999733606758364,0.7035969058305538,0.7035969058305538,0.00026639324163604816,499992.0,0.011070127697798379,1111.544721404064,20.558338141743604,0.011073447004356975,4010110.0,2196.595328150465,0.29640309416944605,0.9083978381295156,1099511627776,8192,7.40762163014114,10.211928844451904,0.13176488876342773,1.4313664436340332,0.909918927034331,370.9921875,0.32378198206424713,0,4.066257319401944,0.5068022220769343,127.95689655172414,2562,0.0006388852176124844,0.009840678796808201,4.997413858771324,0.7079294271452771,0.9930931284397408,0.7254156182641387,0.9994180818449867,0.1246828640610856,0.9999784295424128,0.7254156182641387,0.001158102976932196,2000000,499992,0.01614059938479614,13307.937710031867,0.01614776427523572,4010110,26248.780523605645,0.5069926085923869,0.9906901250468689,2.20226238628377,0.26648663785348514,114.67241379310344,2562,0.0006388852176124844,0.00019038651545267513,0.06127191800624132,0.33727800411532427,0.871222322145788,0.49300739140761307,0.8963491170903675,0.1246828640610856,0.9988418970230678,0.49300739140761307,2.157045758721665e-05,499992,0.006250854318315335,2.737569229560904,0.006250989155011781,4010110,9.855748675036011,0.2745843817358613,0.7754345339118062,8,0.45140000293031335,0.9114813327980731,0.91,2,137.85705256462097,116,1999968,116,499992,ILA score = update_norm * fisher_score * gradient_variance,470.5354890823364,22.8878173828125,8.648797512054443
0.9625,0.005,5.0,2.388982678307865,0.29055639052852467,126.14080459770112,-688.2105123525362,41116930.75,0.7213882803916931,2562.0,0.0006388852176124843,0.0073088119952230204,0.4910885081917513,0.37390627616460154,0.37390627616460154,0.9738694343298552,0.29786520252374765,0.7021347974762523,0.9888826716533857,0.12468286406108559,1999968.0,0.9996132961900845,0.7021347974762523,0.7021347974762523,0.00038670380991547476,499992.0,0.011381889632328439,1115.3120315522683,20.55879431570905,0.011386688016051054,4010110.0,2196.743508219377,0.29786520252374765,0.8778740805420849,1099511627776,8192,7.3597596543237875,10.213911294937134,0.1309511661529541,1.4263007640838623,0.9624885121068327,370.9921875,0.1673893490433693,0,4.079527313887446,0.5084552646574213,127.75,2562,0.0006388852176124844,0.00999040478183983,5.037679925560951,0.7092155817828503,0.9907363319960347,0.7247599867358643,0.9991597474625032,0.1246828640610856,0.9998712326386081,0.7247599867358643,0.0011329141328387804,2000000,499992,0.021865636048466513,13353.849913850427,0.02187458610782799,4010110,26253.66116116196,0.5086471495109142,0.9925889691604918,2.2075207795137595,0.2670705196545335,114.30172413793103,2562,0.0006388852176124844,0.00019188485349286763,0.0567371683428064,0.33426901299187595,0.8716683426907063,0.49135285048908584,0.8865034458237583,0.1246828640610856,0.9988670858671612,0.49135285048908584,0.0001287673613918905,499992,0.0019794529950744335,2.6118949542869814,0.0019799304750627413,4010110,9.367091122374404,0.2752400132641358,0.7897954425623298,8,0.49679999938234687,0.9630672573903031,0.9625,3,138.78050065040588,116,1999968,116,499992,ILA score = update_norm * fisher_score * gradient_variance,470.54592990875244,22.8878173828125,8.656659364700317
0.9775,0.005,5.0,2.1676628211954463,0.263075181958647,123.87027491408931,-1033.2284620873754,41115374.333333336,0.7312657038370768,2562.0,0.0006388852176124843,0.007194145807801102,0.4936575462052133,0.3686714128900974,0.3686714128900974,0.9659044137887141,0.27026932776644813,0.7297306722335518,0.9822307512859266,0.12468236532164954,1999960.0,0.9995486823093237,0.7297306722335518,0.7297306722335518,0.0004513176906762728,499990.0,0.01779430611848462,929.5913488421866,20.55809832863324,0.017802754415727762,4010110.0,2196.6770403396004,0.27026932776644813,0.8665214990681629,1099511627776,8192,7.41972389578761,10.33147144317627,0.12967538833618164,1.426607608795166,0.9774998593741211,370.9921875,0.11821480602025985,0,3.399442555315311,0.4236564655952341,125.4639175257732,2562,0.0006388852176124844,0.009601193371870664,5.095334067940712,0.6565486111142853,0.9870683542923369,0.7478940060569508,0.998224067973008,0.12468236532164953,0.999977042147689,0.7478940060569508,0.0011530395318665176,2000000,499990,0.031140295266129867,11128.082473292947,0.031156269751702863,4010110,26254.732412964106,0.4238505385717854,0.9975601729588687,2.021985974461412,0.24405778087880298,115.26804123711341,2562,0.0006388852176124844,0.00019407297655125706,0.0562848566332832,0.33320203301278734,0.8323520063967788,0.5761494614282145,0.8299863584875536,0.12468236532164953,0.9988469604681335,0.5761494614282145,2.295785231098968e-05,499990,0.009406656492576016,2.280749636411201,0.009406872454164527,4010110,9.001085746625904,0.2521059939430493,0.8044611381975975,8,0.49700000090524554,0.977511937798445,0.9775,4,139.2433409690857,97,1999960,97,499990,ILA score = update_norm * fisher_score * gradient_variance,470.5281181335449,22.887725830078125,8.775188446044922
0.9775,0.005,5.0,2.15521887489451,0.26191894654003944,123.92439862542956,-1378.206680838534,41116316.833333336,0.719283660252889,2562.0,0.0006388852176124843,0.006799915460318578,0.49455024243798107,0.36772106980585967,0.36772106980585967,0.9634029189119042,0.268718862000358,0.731281137999642,0.9816177191068238,0.12468286406108559,1999968.0,0.9994006193400349,0.731281137999642,0.731281137999642,0.0005993806599652041,499992.0,0.022152359941918123,938.2490784066758,20.558487352464304,0.0221654422333647,4010110.0,2196.4153663414377,0.268718862000358,0.8490737158353735,1099511627776,8192,7.5611229376462,10.193439722061157,0.13108587265014648,1.4309499263763428,0.9774998593741211,370.9921875,0.09566969588398934,0,3.4315137666628166,0.4276542195206382,125.49484536082474,2562,0.0006388852176124844,0.009401668948991708,5.165353834629059,0.6583822514999171,0.986912725235952,0.7506614885305711,0.9979686888804061,0.1246828640610856,0.9999414052373253,0.7506614885305711,0.0015479819363348746,2000000,499992,0.039007722440867976,11232.823885977268,0.03901776134531883,4010110,26254.05764668435,0.42785096449256377,0.9953039269684031,1.9997817129647508,0.2416038764484689,114.30927835051547,2562,0.0006388852176124844,0.0001967449719255643,0.04371123726014048,0.3293124216426128,0.8335630815899995,0.5721490355074362,0.8314088851060384,0.1246828640610856,0.9984520180636651,0.5721490355074362,5.8594762674668566e-05,499992,0.005803127372493374,2.174492535588797,0.005803467425289849,4010110,8.594506253721192,0.24933851146942893,0.7900806910024266,8,0.4126999992877245,0.977511937798445,0.9775,5,134.81383395195007,97,1999968,97,499992,ILA score = update_norm * fisher_score * gradient_variance,470.5389041900635,22.8878173828125,8.631403923034668
