round,accuracy,precision,recall,f1,avg_client_loss,selected_indices,selected_key_count,selected_plain_budget_bytes,selected_total_values,avg_update_coverage_ratio,avg_parameter_encryption_ratio,avg_privacy_coverage_ratio,avg_residual_privacy_leakage,avg_leakage_coverage_ratio,avg_variance_coverage_ratio,avg_influence_coverage_ratio,he_distance_time_sec,encrypted_aggregation_time_sec,decryption_time_sec,crypto_overhead_percent,selective_encrypted_upload_mb,round_time_sec,poa_block_creation_time_ms
1,0.81,0.8478846369655483,0.81,0.8046824805324972,0.530357024371624,"[2, 3]",102,1999992,499998,0.3141888268737062,0.12468436027939384,0.9998922923515485,0.00010770764845147163,0.9988167001846765,0.9254036491224283,0.9892911373700743,5.467639500042424,0.22878670692443848,0.13212847709655762,17.334688646329507,156.84489917755127,50.438053369522095,0.24239998310804367
2,0.895,0.9082265398925177,0.895,0.8941425546930134,-1030.172859045565,"[2, 3]",116,1999944,499986,0.3365235268722259,0.12468136784277738,0.999572015836426,0.0004279841635740633,0.9753832403808649,0.8764773084696209,0.9531183332689938,5.434815000044182,0.23061609268188477,0.12878751754760742,17.227551954759406,156.84440422058105,49.98956823348999,0.23290002718567848
3,0.94,0.9444444444444444,0.94,0.9398496240601503,-2064.865474510975,"[2, 3]",108,1999944,499986,0.31577351580243695,0.12468136784277738,0.99961430317462,0.00038569682537994976,0.9657506954459589,0.8771202969847166,0.9451725197788798,5.511388699989766,0.23169612884521484,0.13228940963745117,17.283499375169807,156.8482542037964,50.50784516334534,0.2351999282836914
4,0.945,0.9504504504504504,0.945,0.9448331201885705,-3099.5298433207354,"[2, 3]",116,1999992,499998,0.3348392415505254,0.12468436027939384,0.9990182769671918,0.0009817230328082738,0.96881990107668,0.839837315445678,0.94471801818182,5.509281700011343,0.22998428344726562,0.12767696380615234,17.323967154499872,156.84976387023926,50.265722036361694,0.24730002041906118
5,0.945,0.9504504504504504,0.945,0.9448331201885705,-4134.106830594055,"[2, 3]",105,1999944,499986,0.31070880722207206,0.12468136784277738,0.9991956391494465,0.0008043608505536037,0.9599390184516354,0.8440866627979762,0.9375012531926692,6.932708200067282,0.31081485748291016,0.14418673515319824,17.497568233233608,156.84617710113525,60.6041841506958,0.2828999422490597
