budget_bytes,active_key_count,active_bytes,active_parameter_encryption_ratio,final_accuracy,final_f1,best_accuracy,best_f1,final_encrypted_upload_mb,final_crypto_overhead_percent,final_round_time_sec,chain_valid,tamper_detected
2000000,69,2000000,0.1246848590188299,0.765,0.7512635283533116,0.765,0.7512635283533116,156.8420639038086,20.338482029712306,46.54332518577576,True,True
4000000,102,4000000,0.2493697180376598,0.8875,0.8860579205570501,0.8875,0.8860579205570501,312.418288230896,31.252100175920578,58.93116807937622,True,True
8000000,109,7999992,0.49873893733588354,0.9525,0.9524497750749228,0.9525,0.9524497750749228,623.5568037033081,45.95769873513822,81.51071310043335,True,True
