budget_bytes,budget_mb,active_key_count,active_bytes,active_trainable_values,total_trainable_values,active_per,final_accuracy,final_precision,final_recall,final_f1,best_accuracy,best_f1,best_round,final_loss,final_confusion_matrix,final_selected_clients,final_crypto_overhead,final_round_time_sec,final_he_distance_time_sec,final_he_aggregation_time_sec,final_decryption_time_sec,final_plain_upload_mb,final_encrypted_upload_mb,final_size_expansion_ratio,chain_valid,tamper_detected,transactions,blocks_including_genesis,ledger_size_kb,verification_time_ms,total_time_sec
2000000,2.0,69,2000000,500000,4010110,0.1246848590188299,0.765,0.8401360544217686,0.765,0.7512635283533116,0.765,0.7512635283533116,5,0.4639120754599571,"[[106, 94], [0, 200]]","[2, 3]",20.338482029712306,46.54332518577576,6.089786999975331,0.23311567306518555,0.12844300270080566,7.62939453125,156.8420639038086,20.557603,True,True,31,6,28.4638671875,1.1015000054612756,233.420254945755
4000000,4.0,102,4000000,1000000,4010110,0.2493697180376598,0.8875,0.9081632653061225,0.8875,0.8860579205570501,0.8875,0.8860579205570501,5,0.3232005500793457,"[[155, 45], [0, 200]]","[2, 3]",31.252100175920578,58.93116807937622,12.004009900032543,0.46552038192749023,0.2584249973297119,15.2587890625,312.418288230896,20.474644937500003,True,True,31,6,28.4921875,1.2266000267118216,295.88552808761597
8000000,8.0,109,7999992,1999998,4010110,0.49873893733588354,0.9525,0.954419924179659,0.9525,0.9524497750749228,0.9525,0.9524497750749228,5,0.16886520847678185,"[[184, 16], [3, 197]]","[2, 3]",45.95769873513822,81.51071310043335,24.934674199903384,0.907832145690918,0.4974651336669922,30.517547607421875,623.5568037033081,20.43272977647978,True,True,31,6,28.4814453125,1.093100057914853,405.2552628517151
