round,accuracy,precision,recall,f1,selected_indices,selected_key_count,selected_plain_budget_bytes,per,pcr,encrypted_upload_mb,crypto_overhead_percent,round_time_sec
1,0.81,0.8478846369655483,0.81,0.8046824805324972,"[2, 3]",213,16040440,1.0,1.0,1249.6735544204712,56.06765381998912,135.1599555015564
2,0.8925,0.9064093603582615,0.8925,0.8915722651940667,"[2, 3]",213,16040440,1.0,1.0,1249.643045425415,56.33752029543834,135.0086805820465
3,0.94,0.9444444444444444,0.94,0.9398496240601503,"[2, 3]",213,16040440,1.0,1.0,1249.6791133880615,56.220221346172494,135.6158435344696
4,0.945,0.9504504504504504,0.945,0.9448331201885705,"[2, 3]",213,16040440,1.0,1.0,1249.6855716705322,56.60058796445998,136.62363004684448
5,0.945,0.9504504504504504,0.945,0.9448331201885705,"[2, 3]",213,16040440,1.0,1.0,1249.6786556243896,56.448853883038055,133.1924648284912
