round,accuracy,precision,recall,f1,avg_client_loss,selected_indices,selected_key_count,selected_plain_budget_bytes,selected_total_values,avg_update_coverage_ratio,avg_parameter_encryption_ratio,avg_privacy_coverage_ratio,avg_residual_privacy_leakage,avg_leakage_coverage_ratio,avg_variance_coverage_ratio,avg_influence_coverage_ratio,he_distance_time_sec,encrypted_aggregation_time_sec,decryption_time_sec,crypto_overhead_percent,selective_encrypted_upload_mb,round_time_sec,poa_block_creation_time_ms
1,0.81,0.8478846369655483,0.81,0.8046824805324972,0.5303597384691239,"[2, 3]",213,16040440,4010110,1.0,1.0,1.0,0.0,1.0,1.0,1.0,50.37386950000655,1.8224213123321533,1.158423662185669,56.06765381998912,1249.6735544204712,135.1599555015564,0.26759994216263294
2,0.8925,0.9064093603582615,0.8925,0.8915722651940667,-1030.1729573965072,"[2, 3]",213,16040440,4010110,1.0,1.0,1.0,0.0,1.0,1.0,1.0,50.57138919993304,2.043229341506958,1.0657262802124023,56.33752029543834,1249.643045425415,135.0086805820465,0.27710001450031996
3,0.94,0.9444444444444444,0.94,0.9398496240601503,-2064.86587678425,"[2, 3]",213,16040440,4010110,1.0,1.0,1.0,0.0,1.0,1.0,1.0,49.89341759996023,1.856827974319458,1.0277574062347412,56.220221346172494,1249.6791133880615,135.6158435344696,0.24399999529123306
4,0.945,0.9504504504504504,0.945,0.9448331201885705,-3099.530679765977,"[2, 3]",213,16040440,4010110,1.0,1.0,1.0,0.0,1.0,1.0,1.0,52.11216539994348,1.9513535499572754,1.0287232398986816,56.60058796445998,1249.6855716705322,136.62363004684448,0.2802999224513769
5,0.945,0.9504504504504504,0.945,0.9448331201885705,-4134.108432372511,"[2, 3]",213,16040440,4010110,1.0,1.0,1.0,0.0,1.0,1.0,1.0,49.92785170010757,1.8366436958312988,1.0304710865020752,56.448853883038055,1249.6786556243896,133.1924648284912,0.250800047069788
