accuracy,alpha,attack_scale,avg_adaptive_encryption_quality,avg_adaptive_gain_over_fixed,avg_avg_selected_rank,avg_client_loss,avg_encrypted_selected_size_bytes,avg_encryption_time_sec,avg_fixed_encrypted_params,avg_fixed_parameter_encryption_ratio,avg_fixed_update_coverage_ratio,avg_fixed_update_norm,avg_gradient_cosine_similarity,avg_gradient_energy_ratio_current_field,avg_influence_coverage_ratio,avg_information_coverage_ratio,avg_information_leakage_ratio,avg_leakage_coverage_ratio,avg_parameter_encryption_ratio,avg_plain_selected_size_bytes,avg_privacy_coverage_ratio,avg_reconstruction_risk_score,avg_residual_leakage_risk,avg_residual_privacy_leakage,avg_selected_encrypted_params,avg_selected_ila_leakage_score,avg_selected_update_norm,avg_size_expansion_ratio,avg_total_ila_leakage_score,avg_total_trainable_params,avg_total_update_norm,avg_update_coverage_ratio,avg_variance_coverage_ratio,ckks_global_scale,ckks_poly_modulus_degree,crypto_overhead_percent,crypto_time_sec,decryption_time_sec,encrypted_aggregation_time_sec,f1,full_model_communication_cost_mb,loss,malicious_client_index,max_adaptive_encryption_quality,max_adaptive_gain_over_fixed,max_avg_selected_rank,max_fixed_encrypted_params,max_fixed_parameter_encryption_ratio,max_fixed_update_coverage_ratio,max_fixed_update_norm,max_gradient_cosine_similarity,max_influence_coverage_ratio,max_information_leakage_ratio,max_leakage_coverage_ratio,max_parameter_encryption_ratio,max_privacy_coverage_ratio,max_reconstruction_risk_score,max_residual_privacy_leakage,max_selected_bytes,max_selected_encrypted_params,max_selected_ila_leakage_score,max_selected_update_norm,max_total_ila_leakage_score,max_total_trainable_params,max_total_update_norm,max_update_coverage_ratio,max_variance_coverage_ratio,min_adaptive_encryption_quality,min_adaptive_gain_over_fixed,min_avg_selected_rank,min_fixed_encrypted_params,min_fixed_parameter_encryption_ratio,min_fixed_update_coverage_ratio,min_fixed_update_norm,min_gradient_cosine_similarity,min_influence_coverage_ratio,min_information_leakage_ratio,min_leakage_coverage_ratio,min_parameter_encryption_ratio,min_privacy_coverage_ratio,min_reconstruction_risk_score,min_residual_privacy_leakage,min_selected_encrypted_params,min_selected_ila_leakage_score,min_selected_update_norm,min_total_ila_leakage_score,min_total_trainable_params,min_total_update_norm,min_update_coverage_ratio,min_variance_coverage_ratio,num_selected_by_multikrum,poa_block_creation_time_ms,precision,recall,round,round_time_sec,selected_key_count,selected_plain_budget_bytes,selected_tensor_count,selected_total_values,selection_strategy,selective_encrypted_upload_mb,selective_plain_upload_mb,total_encryption_time_sec
0.82,0.005,5.0,2.4771164015912825,0.30307839103408457,119.60643564356435,0.5268066573143005,41115938.25,0.7122836112976074,2562.0,0.0006388852176124844,0.00577187022209512,1.3062120901886374,0.41598389601341423,0.41598389601341423,0.9887484021155182,0.30885026125617976,0.6911497387438202,0.9988502154099554,0.12468136784277738,1999944.0,0.9998990436458035,0.6911497387438202,0.6911497387438202,0.0001009563541964631,499986.0,0.012651527690026199,2860.560638925497,20.558544764253398,0.012652498286101614,4010110.0,6535.887870640128,0.30885026125617976,0.9268369849976789,1099511627776,8192,7.29234158821635,3.451795816421509,0.12960267066955566,0.47305870056152344,0.817795323413301,123.6640625,0.4997103464603424,0,3.511955732421322,0.43768448420037087,121.4059405940594,2562,0.0006388852176124844,0.009448609399282609,4.986413061618805,0.6566876572090722,0.9924368313045645,0.7369245046500501,0.9992075893809362,0.12468136784277738,0.9999785266322074,0.7369245046500501,0.0002460266186550264,2000000,499986,0.02331332681575158,11433.93466335535,0.023313827442142897,4010110,26112.299299743026,0.4378754445215735,0.9718420631564378,2.1099824288235824,0.2571845682982253,114.5940594059406,2562,0.0006388852176124844,0.0001909603212026555,0.06182082206942141,0.3302200922300853,0.9833721642997271,0.5621245554784264,0.9983424000842887,0.12468136784277738,0.999753973381345,0.5621245554784264,2.1473367792568254e-05,499986,0.008064865053887463,2.751205260748975,0.00806684971364571,4010110,10.318737553156097,0.2630754953499499,0.9063256428321133,2,0.21559999731834978,0.8362757461118115,0.82,1,47.334532737731934,101,1999944,101,499986,ILA score = update_norm * fisher_score * gradient_variance,156.84485721588135,7.629180908203125,2.8491344451904297
0.8975,0.005,5.0,2.727727145075635,0.3349021347463085,121.85307017543859,-1030.1797521734236,41117042.25,0.7108771800994873,2562.0,0.0006388852176124844,0.005198698078890041,1.2923235056368867,0.44265823216868894,0.44265823216868894,0.9579386247489007,0.34010083282519854,0.6598991671748015,0.9762311958804247,0.1246828640610856,1999968.0,0.9997908479738193,0.6598991671748015,0.6598991671748015,0.00020915202618074225,499992.0,0.009665982211631589,3489.9267222658964,20.558850066601067,0.009668219961992797,4010110.0,6568.923576052148,0.34010083282519854,0.9207679451174545,1099511627776,8192,7.453548912626416,3.443234443664551,0.12952542304992676,0.4702003002166748,0.8967975785187935,123.6640625,0.3489877712726593,0,4.263323827057956,0.5313741868815118,126.26315789473684,2562,0.0006388852176124844,0.00852613259646749,4.96681435406208,0.742745603294633,0.9919777636157495,0.7273888466605056,0.9992734359485371,0.1246828640610856,0.9999486480963621,0.7273888466605056,0.000525786815437912,2000000,499992,0.017590461352466565,13951.599157646298,0.017593924078668506,4010110,26246.348971411586,0.5315634251774544,0.9894271013744138,2.1864364072189955,0.2676283696221715,109.47368421052632,2562,0.0006388852176124844,0.00018923829594249864,0.0481629676069133,0.3392368007008562,0.8841283495795039,0.46843657482254564,0.9104246381719758,0.1246828640610856,0.9994742131845621,0.46843657482254564,5.135190363791953e-05,499992,0.0032398062242064074,2.6261541179264896,0.0032400092290392193,4010110,9.424979834613623,0.2726111533394944,0.8391137909573901,2,0.24610000400571153,0.908624810464907,0.8975,2,46.195905923843384,114,1999968,114,499992,ILA score = update_norm * fisher_score * gradient_variance,156.8490686416626,7.6292724609375,2.843508720397949
0.9525,0.005,5.0,3.1479525337312655,0.38699673753564223,121.2904411764706,-2064.9197105854005,41118442.25,0.7098137736320496,2562.0,0.0006388852176124844,0.005484870225679942,1.3090849690051982,0.469245011897769,0.469245011897769,0.970340005996403,0.3924816077613222,0.6075183922386778,0.9840357409064463,0.12467837540616093,1999896.0,0.9997482222438933,0.6075183922386778,0.6075183922386778,0.0002517777561067691,499974.0,0.019381048189880703,4307.911192481435,20.560290260093527,0.01938597866182379,4010110.0,6569.93092261753,0.3924816077613222,0.9065145911632928,1099511627776,8192,7.271908168002482,3.4320132732391357,0.12865829467773438,0.4640998840332031,0.9524140478739724,123.6640625,0.16023716896772386,0,5.262296067353001,0.6559032593383838,126.08823529411765,2562,0.0006388852176124844,0.00899220648007963,5.020773157477379,0.8397219577615183,0.9857581661448206,0.6977215855685739,0.9989900322215403,0.12467837540616093,0.9999155872239303,0.6977215855685739,0.0004392242057318363,2000000,499974,0.03354941134940563,17222.688683450222,0.0335525106542367,4010110,26250.316132992506,0.6560945245838018,0.9893089946349473,2.424465457194986,0.2946336636915467,107.16176470588235,2562,0.0006388852176124844,0.00019126524541801838,0.05270315828965977,0.341245416823135,0.938980335053289,0.3439054754161982,0.9430328375544965,0.12467837540616093,0.9995607757942682,0.3439054754161982,8.441277606974218e-05,499974,0.006636942352918124,2.839413758541923,0.006637502642942385,4010110,9.263296305834956,0.30227841443142606,0.8475197284064209,2,0.2069000038318336,0.9557931051849613,0.9525,3,47.19549798965454,136,1999896,136,499974,ILA score = update_norm * fisher_score * gradient_variance,156.85440921783447,7.628997802734375,2.8392550945281982
0.9575,0.005,5.0,2.561526898241831,0.3142601943379183,124.18981481481481,-3099.5725160803645,41116094.5,0.7037168145179749,2562.0,0.0006388852176124844,0.005114483100940002,1.3295817533653462,0.43725143060332006,0.43725143060332006,0.9500906453869037,0.31937467743885833,0.6806253225611416,0.9673697063774855,0.12468136784277738,1999944.0,0.9997084750827819,0.6806253225611416,0.6806253225611416,0.0002915249172180945,499986.0,0.026182365470300267,3243.7426289647556,20.558622891440958,0.026190763100032266,4010110.0,6569.387120565493,0.31937467743885833,0.8863097844318798,1099511627776,8192,7.408646411922468,3.4086754322052,0.12862277030944824,0.46518540382385254,0.9574230954661858,123.6640625,0.1309896941110492,0,3.9622008476836137,0.4938172741873469,128.90740740740742,2562,0.0006388852176124844,0.008416770358558163,5.127820312976837,0.712413773256695,0.9805032976996824,0.7409247763779696,0.9976282815265227,0.12468136784277738,0.999908471230443,0.7409247763779696,0.00041389243628675576,2000000,499986,0.044740343158003286,12967.7228448987,0.04475886851513845,4010110,26249.78043936938,0.49401262135700497,0.9858227552937675,2.0778984711550734,0.2506584532634723,111.1574074074074,2562,0.0006388852176124844,0.0001953471696580799,0.04956610081717372,0.3332305049663535,0.8730468877531649,0.505987378642995,0.8836617008512152,0.12468136784277738,0.9995861075637132,0.505987378642995,9.152876955698108e-05,499986,0.01130225015630463,2.2675623721443117,0.011306822963978985,4010110,8.558995270213927,0.25907522362203045,0.8328031639892731,2,0.19919999613193795,0.9608294930875576,0.9575,4,46.00942254066467,108,1999944,108,499986,ILA score = update_norm * fisher_score * gradient_variance,156.8454532623291,7.629180908203125,2.8148672580718994
0.9675,0.005,5.0,2.563504826716765,0.3151980911659348,126.55405405405406,-4134.182427274641,41116810.25,0.707144021987915,2562.0,0.0006388852176124844,0.004430868226383448,1.3519239278684836,0.4375039077638381,0.4375039077638381,0.9459671848305425,0.3196289593923183,0.6803710406076818,0.9652707403691672,0.12468436027939384,1999992.0,0.9996276131651984,0.6803710406076818,0.6803710406076818,0.00037238683480161905,499998.0,0.03152747110789811,3187.0946072311344,20.558487358949435,0.031538972814498564,4010110.0,6569.332074558397,0.3196289593923183,0.8744737707626056,1099511627776,8192,7.413450719892715,3.4245529174804688,0.13053679466247559,0.465440034866333,0.9674835385413866,123.6640625,0.11080876003950835,0,3.8929002082842197,0.4851841871377433,130.6936936936937,2562,0.0006388852176124844,0.008039187049195828,5.238966628909111,0.6992628770500554,0.9763951226769998,0.7428948004153099,0.9949810824524611,0.12468436027939384,0.9999211758540653,0.7428948004153099,0.0007811646857295296,2000000,499998,0.04677434602977002,12740.986781731248,0.04678559070056075,4010110,26249.305217951536,0.48538377210143696,0.9861198762976416,2.0620485120071717,0.24906601253549432,114.97297297297297,2562,0.0006388852176124844,0.00019958496369367729,0.0378232795628719,0.3260377269128256,0.8666123629466993,0.5146162278985631,0.8784775451923552,0.12468436027939384,0.9992188353142705,0.5146162278985631,7.882414593474163e-05,499998,0.01371350521935258,2.2634110440849327,0.013714586259901365,4010110,8.440253350501735,0.25710519958469014,0.8057249995605247,2,0.22590000298805535,0.968448608432075,0.9675,5,46.193777322769165,111,1999992,111,499998,ILA score = update_norm * fisher_score * gradient_variance,156.84818363189697,7.629364013671875,2.82857608795166
