round,accuracy,precision,recall,f1,avg_client_loss,selected_indices,selected_key_count,selected_plain_budget_bytes,selected_total_values,avg_update_coverage_ratio,avg_parameter_encryption_ratio,avg_privacy_coverage_ratio,avg_residual_privacy_leakage,avg_leakage_coverage_ratio,avg_variance_coverage_ratio,avg_influence_coverage_ratio,he_distance_time_sec,encrypted_aggregation_time_sec,decryption_time_sec,crypto_overhead_percent,selective_encrypted_upload_mb,round_time_sec,poa_block_creation_time_ms
1,0.615,0.7541998231653403,0.615,0.5539334955393349,0.6043358281254768,"[2, 3]",102,4000000,1000000,1.0,0.2493697180376598,1.0,0.0,1.0,1.0,1.0,12.232465700013563,0.4561285972595215,0.2662343978881836,30.94480317075118,312.41987133026123,60.08293104171753,0.24159997701644897
2,0.6475,0.7932551319648095,0.6475,0.5974849948971945,0.5623516693711281,"[2, 3]",102,4000000,1000000,1.0,0.2493697180376598,1.0,0.0,1.0,1.0,1.0,12.155535399913788,0.47505736351013184,0.2579939365386963,31.433457147204912,312.41814613342285,59.26470613479614,0.24500000290572643
3,0.77,0.8424657534246575,0.77,0.757153415690001,0.5735624505579472,"[2, 3]",102,4000000,1000000,1.0,0.2493697180376598,1.0,0.0,1.0,1.0,1.0,12.1296743999701,0.4565441608428955,0.2629060745239258,31.517686762303455,312.41523838043213,58.762975215911865,0.2463000128045678
4,0.8425,0.8802281368821292,0.8425,0.8384936326755582,0.5814478884637356,"[2, 3]",102,4000000,1000000,1.0,0.2493697180376598,1.0,0.0,1.0,1.0,1.0,12.014751000097021,0.4632143974304199,0.2539653778076172,31.195137043832954,312.4151954650879,58.82227802276611,0.27930003125220537
5,0.8875,0.9081632653061225,0.8875,0.8860579205570501,0.6106350702792407,"[2, 3]",102,4000000,1000000,1.0,0.2493697180376598,1.0,0.0,1.0,1.0,1.0,12.004009900032543,0.46552038192749023,0.2584249973297119,31.252100175920578,312.418288230896,58.93116807937622,0.2567999763414264
