round,accuracy,precision,recall,f1,avg_client_loss,selected_indices,selected_key_count,selected_plain_budget_bytes,selected_total_values,avg_update_coverage_ratio,avg_parameter_encryption_ratio,avg_privacy_coverage_ratio,avg_residual_privacy_leakage,avg_leakage_coverage_ratio,avg_variance_coverage_ratio,avg_influence_coverage_ratio,he_distance_time_sec,encrypted_aggregation_time_sec,decryption_time_sec,crypto_overhead_percent,selective_encrypted_upload_mb,round_time_sec,poa_block_creation_time_ms
1,0.68,0.7923976608187135,0.68,0.6459785374488328,0.5851180312037468,"[2, 3]",109,7999992,1999998,1.0,0.49873893733588354,1.0,0.0,1.0,1.0,1.0,24.303499400033616,0.9169232845306396,0.6005206108093262,45.54953587898199,623.560302734375,81.30724763870239,0.24369999300688505
2,0.7925,0.8533568904593639,0.7925,0.7831638484498175,0.5204522892832757,"[2, 3]",109,7999992,1999998,1.0,0.49873893733588354,1.0,0.0,1.0,1.0,1.0,24.21783370000776,0.9305553436279297,0.5318644046783447,45.276943221656744,623.5507984161377,81.26054668426514,0.26469992008060217
3,0.895,0.9132231404958678,0.895,0.8938294699057104,0.5082689036428928,"[2, 3]",109,7999992,1999998,1.0,0.49873893733588354,1.0,0.0,1.0,1.0,1.0,24.069994399906136,0.9161760807037354,0.5159471035003662,45.388334154121864,623.557783126831,80.72699880599976,0.24020008277148008
4,0.93,0.9385964912280701,0.93,0.9296553110240177,0.5075971463322639,"[2, 3]",109,7999992,1999998,1.0,0.49873893733588354,1.0,0.0,1.0,1.0,1.0,24.108922700048424,0.9110572338104248,0.5114603042602539,45.5340048976154,623.5642900466919,80.42787098884583,0.23929995950311422
5,0.9525,0.954419924179659,0.9525,0.9524497750749228,0.5593516186997294,"[2, 3]",109,7999992,1999998,1.0,0.49873893733588354,1.0,0.0,1.0,1.0,1.0,24.934674199903384,0.907832145690918,0.4974651336669922,45.95769873513822,623.5568037033081,81.51071310043335,0.23640005383640528
