round,accuracy,precision,recall,f1,avg_client_loss,selected_indices,selected_key_count,selected_plain_budget_bytes,selected_total_values,avg_update_coverage_ratio,avg_parameter_encryption_ratio,avg_privacy_coverage_ratio,avg_residual_privacy_leakage,avg_leakage_coverage_ratio,avg_variance_coverage_ratio,avg_influence_coverage_ratio,he_distance_time_sec,encrypted_aggregation_time_sec,decryption_time_sec,crypto_overhead_percent,selective_encrypted_upload_mb,round_time_sec,poa_block_creation_time_ms
1,0.81,0.8478846369655483,0.81,0.8046824805324972,0.5303649869561196,"[2, 3]",143,3999944,999986,0.49307863307204486,0.24936622686160728,0.9999220837875116,7.791621248851022e-05,0.9995386740297635,0.9450259792557156,0.9940692056758691,13.525166300009005,0.5622975826263428,0.2675943374633789,27.730005513001693,312.4105110168457,73.7393147945404,0.2874999772757292
2,0.8925,0.9064093603582615,0.8925,0.8915722651940667,-1030.1729079513252,"[2, 3]",117,3999944,999986,0.406251214413006,0.24936622686160728,0.9997281416666163,0.000271858333383751,0.9741242740972792,0.9094280774558583,0.9555624443073497,10.738959999987856,0.45533132553100586,0.2571532726287842,27.3398132261537,312.40454959869385,62.318681955337524,0.2370999427512288
3,0.9425,0.9474329482545059,0.9425,0.9423410775951218,-2064.865635975339,"[2, 3]",140,3999944,999986,0.4793920628000527,0.24936622686160728,0.9997700989780709,0.00022990102192912976,0.9794217567467133,0.9170397449364079,0.9678133659509105,10.806897299946286,0.45270347595214844,0.2567567825317383,28.463933077437186,312.42027378082275,60.37116003036499,0.23530004546046257
4,0.945,0.9504504504504504,0.945,0.9448331201885705,-3099.5300962295005,"[2, 3]",115,3999944,999986,0.39908552015689613,0.24936622686160728,0.9994878243372343,0.0005121756627657348,0.9654294955831596,0.8902632797131982,0.9477798011498669,13.482363599934615,0.5592360496520996,0.2724466323852539,28.287902042547312,312.40904903411865,71.9270555973053,0.2914000069722533
5,0.945,0.9504504504504504,0.945,0.9448331201885705,-4134.106892509665,"[2, 3]",139,3999992,999998,0.4734037889809491,0.24936921929822373,0.9995529919602572,0.0004470080397428744,0.9762388315178874,0.8996233878909925,0.962656756767684,12.320770899998024,0.4779953956604004,0.25695300102233887,26.430823907027808,312.4308223724365,71.41925024986267,0.238100066781044
