round,accuracy,precision,recall,f1,avg_client_loss,selected_indices,selected_key_count,selected_plain_budget_bytes,selected_total_values,avg_update_coverage_ratio,avg_parameter_encryption_ratio,avg_privacy_coverage_ratio,avg_residual_privacy_leakage,avg_leakage_coverage_ratio,avg_variance_coverage_ratio,avg_influence_coverage_ratio,he_distance_time_sec,encrypted_aggregation_time_sec,decryption_time_sec,crypto_overhead_percent,selective_encrypted_upload_mb,round_time_sec,poa_block_creation_time_ms
1,0.81,0.8478846369655483,0.81,0.8046824805324972,0.5303671032190322,"[2, 3]",132,7999992,1999998,0.5634681034120523,0.49873893733588354,0.9999629363586655,3.706364133454487e-05,0.9993668573924914,0.9720580864539369,0.9952755216339267,21.932977800024673,0.9058666229248047,0.5157947540283203,42.35713311336684,623.5552139282227,81.21376061439514,0.2359000500291586
2,0.8925,0.9064093603582615,0.8925,0.8915722651940667,-1030.1728853538632,"[2, 3]",152,7999960,1999990,0.6083639541074567,0.49873694237813926,0.999910406111106,8.959388889398512e-05,0.9844430057518471,0.9613353315739581,0.9743841018885842,33.08387579990085,1.0700364112854004,0.5974252223968506,48.24155698095801,623.5527219772339,92.24691224098206,0.30339998193085194
3,0.94,0.9444444444444444,0.94,0.9398496240601503,-2064.8655701368302,"[2, 3]",153,7999960,1999990,0.6132238428372444,0.49873694237813926,0.9999372082180462,6.27917819538415e-05,0.9827072462068699,0.9645525808220163,0.9757375330787601,23.26349779998418,0.9120025634765625,0.5174930095672607,37.29810412984567,623.5520610809326,96.72418308258057,0.22909999825060368
4,0.945,0.9504504504504504,0.945,0.9448331201885705,-3099.5300728156794,"[2, 3]",165,7999960,1999990,0.64579270965751,0.49873694237813926,0.9998775742551614,0.00012242574483856128,0.9877965574398431,0.9568199923039458,0.9811052620911772,30.250994300004095,1.315843105316162,0.6301507949829102,44.92947828022182,623.5656261444092,96.49190497398376,0.32570003531873226
5,0.945,0.9504504504504504,0.945,0.9448331201885705,-4134.107195270136,"[2, 3]",158,7999968,1999992,0.645601603061425,0.49873744111757534,0.9999037334474459,9.626655255412508e-05,0.9864007525672687,0.9595244088381628,0.9811371773175749,28.87204499996733,0.9861290454864502,0.5204355716705322,38.82340994007536,623.545880317688,113.49445915222168,0.26240001898258924
