budget_bytes,budget_label,round,accuracy,precision,recall,f1,loss,selected_indices,selected_key_count,selected_plain_budget_bytes,hybrid_selected_sensitive_key_count,hybrid_plaintext_residual_key_count,hybrid_selected_sensitive_values,hybrid_plaintext_residual_values,hybrid_sensitive_he_parameter_ratio,hybrid_plaintext_residual_parameter_ratio,avg_privacy_coverage_ratio,avg_residual_privacy_leakage,avg_leakage_coverage_ratio,avg_variance_coverage_ratio,avg_influence_coverage_ratio,avg_gradient_energy_ratio_current_field,crypto_overhead_percent,round_time_sec,he_distance_time_sec,encrypted_aggregation_time_sec,decryption_time_sec,total_encryption_time_sec,selective_encrypted_upload_mb,size_expansion_ratio,poa_block_creation_time_ms,confusion_matrix
2000000,2 MB,1,0.81,0.8478846369655483,0.81,0.8046824805324972,0.5115878486633301,"[2, 3]",102,1999992,102,111,499998,3510112,0.12468436027939384,0.8753156397206062,0.9998922923515485,0.00010770764845147163,0.9988167001846765,0.9254036491224283,0.9892911373700743,0.4199620186231812,17.334688646329507,50.438053369522095,5.467639500042424,0.22878670692443848,0.13212847709655762,2.914724826812744,156.84489917755127,20.558056857227427,0.24239998310804367,"[[129, 71], [5, 195]]"
2000000,2 MB,2,0.895,0.9082265398925177,0.895,0.8941425546930134,0.34322255313396455,"[2, 3]",116,1999944,116,97,499986,3510124,0.12468136784277738,0.8753186321572226,0.999572015836426,0.0004279841635740633,0.9753832403808649,0.8764773084696209,0.9531183332689938,0.43555659273198116,17.227551954759406,49.98956823348999,5.434815000044182,0.23061609268188477,0.12878751754760742,2.8177602291107178,156.84440422058105,20.558485387590853,0.23290002718567848,"[[161, 39], [3, 197]]"
2000000,2 MB,3,0.94,0.9444444444444444,0.94,0.9398496240601503,0.17384789243340493,"[2, 3]",108,1999944,108,105,499986,3510124,0.12468136784277738,0.8753186321572226,0.99961430317462,0.00038569682537994976,0.9657506954459589,0.8771202969847166,0.9451725197788798,0.4302888174760357,17.283499375169807,50.50784516334534,5.511388699989766,0.23169612884521484,0.13228940963745117,2.8541488647460938,156.8482542037964,20.55899002672075,0.2351999282836914,"[[178, 22], [2, 198]]"
2000000,2 MB,4,0.945,0.9504504504504504,0.945,0.9448331201885705,0.15557906024158,"[2, 3]",116,1999992,116,97,499998,3510112,0.12468436027939384,0.8753156397206062,0.9990182769671918,0.0009817230328082738,0.96881990107668,0.839837315445678,0.94471801818182,0.4384321938591041,17.323967154499872,50.265722036361694,5.509281700011343,0.22998428344726562,0.12767696380615234,2.841074228286743,156.84976387023926,20.558694484777938,0.24730002041906118,"[[178, 22], [0, 200]]"
2000000,2 MB,5,0.945,0.9504504504504504,0.945,0.9448331201885705,0.15527525212615728,"[2, 3]",105,1999944,105,108,499986,3510124,0.12468136784277738,0.8753186321572226,0.9991956391494465,0.0008043608505536037,0.9599390184516354,0.8440866627979762,0.9375012531926692,0.43408408248672187,17.497568233233608,60.6041841506958,6.932708200067282,0.31081485748291016,0.14418673515319824,3.2165486812591553,156.84617710113525,20.558717769097534,0.2828999422490597,"[[178, 22], [0, 200]]"
4000000,4 MB,1,0.81,0.8478846369655483,0.81,0.8046824805324972,0.5116201281547547,"[2, 3]",143,3999944,143,70,999986,3010124,0.24936622686160728,0.7506337731383927,0.9999220837875116,7.791621248851022e-05,0.9995386740297635,0.9450259792557156,0.9940692056758691,0.5555447400162165,27.730005513001693,73.7393147945404,13.525166300009005,0.5622975826263428,0.2675943374633789,6.092857837677002,312.4105110168457,20.474421891906488,0.2874999772757292,"[[129, 71], [5, 195]]"
4000000,4 MB,2,0.8925,0.9064093603582615,0.8925,0.8915722651940667,0.34320709109306335,"[2, 3]",117,3999944,117,96,999986,3010124,0.24936622686160728,0.7506337731383927,0.9997281416666163,0.000271858333383751,0.9741242740972792,0.9094280774558583,0.9555624443073497,0.5384158418994238,27.3398132261537,62.318681955337524,10.738959999987856,0.45533132553100586,0.2571532726287842,5.586366653442383,312.40454959869385,20.474031198936785,0.2370999427512288,"[[160, 40], [3, 197]]"
4000000,4 MB,3,0.9425,0.9474329482545059,0.9425,0.9423410775951218,0.1738586488366127,"[2, 3]",140,3999944,140,73,999986,3010124,0.24936622686160728,0.7506337731383927,0.9997700989780709,0.00022990102192912976,0.9794217567467133,0.9170397449364079,0.9678133659509105,0.5631189562467356,28.463933077437186,60.37116003036499,10.806897299946286,0.45270347595214844,0.2567567825317383,5.667649030685425,312.42027378082275,20.47506171336399,0.23530004546046257,"[[178, 22], [1, 199]]"
4000000,4 MB,4,0.945,0.9504504504504504,0.945,0.9448331201885705,0.15575439609587194,"[2, 3]",115,3999944,115,98,999986,3010124,0.24936622686160728,0.7506337731383927,0.9994878243372343,0.0005121756627657348,0.9654294955831596,0.8902632797131982,0.9477798011498669,0.5395617652092733,28.287902042547312,71.9270555973053,13.482363599934615,0.5592360496520996,0.2724466323852539,6.0326087474823,312.40904903411865,20.474326078065094,0.2914000069722533,"[[178, 22], [0, 200]]"
4000000,4 MB,5,0.945,0.9504504504504504,0.945,0.9448331201885705,0.15535514067858458,"[2, 3]",139,3999992,139,74,999998,3010112,0.24936921929822373,0.7506307807017762,0.9995529919602572,0.0004470080397428744,0.9762388315178874,0.8996233878909925,0.962656756767684,0.5633378700766045,26.430823907027808,71.41925024986267,12.320770899998024,0.4779953956604004,0.25695300102233887,5.820976972579956,312.4308223724365,20.47550732601465,0.238100066781044,"[[178, 22], [0, 200]]"
