budget_bytes,budget_label,final_accuracy,final_precision,final_recall,final_f1,best_round,best_accuracy,best_f1,final_loss,final_confusion_matrix,selected_indices_all_rounds,final_selected_indices,final_selected_sensitive_key_count,final_plaintext_residual_key_count,final_total_trainable_key_count,final_selected_sensitive_values,final_plaintext_residual_values,final_total_trainable_values,final_selected_sensitive_bytes,final_plaintext_residual_bytes,final_total_trainable_bytes,final_sensitive_he_parameter_ratio,final_plaintext_residual_parameter_ratio,final_privacy_coverage_ratio,final_residual_privacy_leakage,final_leakage_coverage_ratio,final_variance_coverage_ratio,final_influence_coverage_ratio,final_gradient_energy_ratio_current_field,final_crypto_overhead_percent,final_round_time_sec,final_he_distance_time_sec,final_encrypted_aggregation_time_sec,final_decryption_time_sec,final_total_encryption_time_sec,final_avg_encryption_time_sec,final_selective_plain_upload_mb,final_selective_encrypted_upload_mb,final_size_expansion_ratio,full_model_communication_cost_mb,chain_valid,tamper_detected,num_transactions,num_blocks_including_genesis,avg_block_creation_time_ms,max_block_creation_time_ms,verification_time_ms,ledger_size_kb,total_time_sec
2000000,2 MB,0.945,0.9504504504504504,0.945,0.9448331201885705,4,0.945,0.9448331201885705,0.15527525212615728,"[[178, 22], [0, 200]]","[[2, 3], [2, 3], [2, 3], [2, 3], [2, 3]]","[2, 3]",105,108,213,499986,3510124,4010110,1999944,14040496,16040440,0.12468136784277738,0.8753186321572226,0.9991956391494465,0.0008043608505536037,0.9599390184516354,0.8440866627979762,0.9375012531926692,0.43408408248672187,17.497568233233608,60.6041841506958,6.932708200067282,0.31081485748291016,0.14418673515319824,3.2165486812591553,0.8041371703147888,7.629180908203125,156.84617710113525,20.558717769097534,123.6640625,True,True,31,6,0.24813998024910688,0.2828999422490597,1.3766000047326088,28.5654296875,261.8276615142822
4000000,4 MB,0.945,0.9504504504504504,0.945,0.9448331201885705,4,0.945,0.9448331201885705,0.15535514067858458,"[[178, 22], [0, 200]]","[[2, 3], [2, 3], [2, 3], [2, 3], [2, 3]]","[2, 3]",139,74,213,999998,3010112,4010110,3999992,12040448,16040440,0.24936921929822373,0.7506307807017762,0.9995529919602572,0.0004470080397428744,0.9762388315178874,0.8996233878909925,0.962656756767684,0.5633378700766045,26.430823907027808,71.41925024986267,12.320770899998024,0.4779953956604004,0.25695300102233887,5.820976972579956,1.455244243144989,15.258758544921875,312.4308223724365,20.47550732601465,123.6640625,True,True,31,6,0.2578800078481436,0.2914000069722533,1.087700016796589,28.5693359375,339.79684138298035
8000000,8 MB,0.945,0.9504504504504504,0.945,0.9448331201885705,4,0.945,0.9448331201885705,0.15533980526030064,"[[178, 22], [0, 200]]","[[2, 3], [2, 3], [2, 3], [2, 3], [2, 3]]","[2, 3]",158,55,213,1999992,2010118,4010110,7999968,8040472,16040440,0.49873744111757534,0.5012625588824247,0.9999037334474459,9.626655255412508e-05,0.9864007525672687,0.9595244088381628,0.9811371773175749,0.7406442503423994,38.82340994007536,113.49445915222168,28.87204499996733,0.9861290454864502,0.5204355716705322,13.683809518814087,3.4209523797035217,30.5174560546875,623.545880317688,20.432433135982542,123.6640625,True,True,31,6,0.27130001690238714,0.32570003531873226,1.3380999444052577,28.5732421875,480.1958930492401
